matter_id,file_number,intro_date,agenda_date,passed_date,body,matter_type,status,requester,enactment_number,action_type_ai,clean_title,summary,topic_tags,geography,raw_title,notes,tag_status
3284,202100899,2021-03-03,2021-03-10,2021-03-10,Cincinnati City Council,Report,Approved & Filed,Budget and Finance Committee,,report,Implementation of Tax Increment Finance District Policy for Affordable Housing,City Manager reports on implementing Tax Increment Finance District policy to support affordable housing development.,housing|tax policy,citywide,"REPORT, dated  3/8/2021, submitted by Paula Boggs Muething, City Manager, regarding Implementation of Tax Increment Finance District Policy for Affordable Housing.  SEE REFERENCE DOC #202001976.",,success
3285,202100906,2021-03-03,2021-03-17,2021-03-17,Cincinnati City Council,Motion,Adopted,Neighborhoods Committee,,motion,Secondary name change for Hatch Street to Pat Barry Way,Makes a secondary name change to Hatch Street between Louden and Wareham Streets to Pat Barry Way.,elections and governance,,"MOTION, submitted by Councilmember Mann, WE MOVE that the City make a secondary name change to Hatch Street, between Louden and Wareham Streets to Pat Barry Way. (STATEMENT ATTACHED).",,success
3286,202100907,2021-03-03,2021-03-03,2021-03-03,Cincinnati City Council,Ordinance,Passed Emergency,City Manager,0066-2021,emergency ordinance,Charter amendment for $50 million annual affordable housing fund,Creates charter amendment requiring $50 million annual contribution to affordable housing fund administered by volunteer board.,housing|elections and governance|tax policy,citywide,"ORDINANCE (EMERGENCY) (B VERSION) submitted by Paula Boggs Muething, City Manager, from Andrew W. Garth, City Solicitor, TO SUBMIT to the electors of the City of Cincinnati an amendment to the Charter of the City which requires a permanent, annual contribution beginning July 1, 2021 of fifty million dollars ($50,000,000) of City funds to a new restricted fund to pay for housing for persons with low incomes using funding sources otherwise dedicated to providing for essential City services and public infrastructure needs to be paid from (1) the City’s general operating or capital funds; (2) revenue from the lease or sale of the Cincinnati Southern Railway; (3) a proposed fee on developers of all commercial and some residential projects; or (4) a personal income tax on the award of stock options in publicly traded companies; where the newly-created fund is restricted to the purpose of creating and preserving housing that is affordable for households earning 60% of Hamilton County’s median household income, with half of the fund restricted to housing that is affordable for households earning 30% of Hamilton County’s median household income; where the fund can be allocated to new construction, renovation of vacant property, renovation of existing affordable units, operation costs of affordable housing, and direct services, provided that housing supported by the fund, with the exception of owner-occupied single-family housing, must be permanently dedicated as affordable by deed restriction; where the fund will be administered by an unelected volunteer board that will consist of eleven private citizens, nine of whom are selected by affordable housing and low income service organizations and two of whom are selected by the City Council President Pro Tem; who will serve staggered four-year terms; and who will create the rules, regulations, and standards that govern the board by enacting new Article XVII of the Charter.",,success
3287,202100908,2021-03-03,2021-03-22,2021-03-22,"Education, Innovation & Growth Committee",Report,Filed/Sunset,City Manager,,report,Greater Cincinnati Foundation All in Cincinnati Coalition Groundwater Training Report,City Manager reports on Greater Cincinnati Foundation's All in Cincinnati Coalition groundwater training program.,education|environment and sustainability,citywide,"REPORT, dated  3/10/2021, submitted by Paula Boggs Muething, City Manager, regarding Greater Cincinnati Foundation's All in Cincinnati Coalition Groundwater training.",,success
3288,202100909,2021-03-04,2021-03-10,2021-03-16,Law & Public Safety Committee,Report,Filed/Sunset,City Manager,,report,City Solicitor Report on Mayor's Legal Authority for Development Contracts,City Solicitor reports on whether Mayor has legal authority to negotiate development contracts under City Charter.,legal and litigation|economic development|elections and governance,citywide,"REPORT, submitted by Andrew W. Garth, City Solicitor, regarding Motion #202100592 submitted by Councilmember Wendell Young, which states as follows: Under the City Charter, does the Mayor have legal authority to negotiate or direct any development contracts with Developers who want to do business with the City.",,success
3289,202100910,2021-03-04,2021-03-10,2021-03-10,Cincinnati City Council,Statement,Filed,Clerk of Council,,other,Financial Disclosure Statement Filing for Councilmember Christopher Steven Seelbach,Formal filing of financial disclosure statement for Councilmember and President Pro Tem Christopher Steven Seelbach.,elections and governance,citywide,"STATEMENT, submitted by the Clerk of Council formally filing a copy of the Financial Disclosure Statement for Christopher Steven Seelbach/Councilmember/President Pro Tem. (CITY)",,success
3290,202100911,2021-03-04,2021-03-10,2021-03-10,Cincinnati City Council,Statement,Filed,Clerk of Council,,other,Financial Disclosure Statement Filing for Gerald L. Thomason Human Resources Division Manager,Filing of financial disclosure statement for Human Resources Division Manager Gerald L. Thomason.,elections and governance,,"STATEMENT, submitted by the Clerk of Council formally filing a copy of the Financial Disclosure Statement for Gerald L. Thomason/Human Resources Division Manager Shared Services.",,success
3291,202100912,2021-03-04,2021-03-10,2021-03-10,Cincinnati City Council,Statement,Filed,Clerk of Council,,other,Financial Disclosure Statement Filing for City Treasurer Nicole Dorothy Lee,Formal filing of required financial disclosure statement for City Treasurer Nicole Dorothy Lee.,elections and governance,citywide,"STATEMENT, submitted by the Clerk of Council formally filing a copy of the Financial Disclosure Statement for Nicole Dorothy Lee/City Treasurer.",,success
3292,202100913,2021-03-04,2021-03-10,2021-03-10,Cincinnati City Council,Statement,Filed,Clerk of Council,,other,Financial Disclosure Statement Filing for City Solicitor Andrew W. Garth,Formal filing of financial disclosure statement for City Solicitor Andrew W. Garth with Law Department.,elections and governance,,"STATEMENT, submitted by the Clerk of Council formally filing a copy of the Financial Disclosure Statement for Andrew W. Garth/Law Department/City Solicitor.",,success
3293,202100914,2021-03-04,2021-03-10,2021-03-10,Cincinnati City Council,Statement,Filed,Clerk of Council,,other,Financial Disclosure Statement Filing for Health Division Manager Robert Lee Hall Jr.,Formal filing of required financial disclosure statement for Health Division Manager Robert Lee Hall Jr.,elections and governance,,"STATEMENT, submitted by the Clerk of Council formally filing a copy of the Financial Disclosure Statement for Robert Lee Hall Jr./Health Division Manager.",,success
3294,202100915,2021-03-04,2021-03-10,2021-03-10,Cincinnati City Council,Statement,Filed,Clerk of Council,,other,Financial Disclosure Statement Filing for Public Services Superintendent Cuthbert Jude Johnson,Formal filing of financial disclosure statement for Department of Public Services Superintendent Cuthbert Jude Johnson.,elections and governance,,"STATEMENT, submitted by the Clerk of Council formally filing a copy of the Financial Disclosure Statement for Cuthbert Jude Johnson/Department of Public Services/Superintendent.",,success
3295,202100916,2021-03-04,2021-03-10,2021-03-10,Cincinnati City Council,Statement,Filed,Clerk of Council,,other,Financial Disclosure Statement Filing for Councilmember Wendell Young,Formal filing of ethics financial disclosure statement for Councilmember Wendell Young.,elections and governance,,"STATEMENT, submitted by the Clerk of Council formally filing a copy of the Financial Disclosure Statement for Wendell Young/Councilmember. (ETHICS)",,success
3296,202100917,2021-03-04,2021-03-08,2021-03-08,"Budget, Finance & Governance Committee",Presentation,Filed/Sunset,,,presentation,City Planning Department FY 2022-2023 Biennial Operating Budget Presentation,City Manager presents City Planning Department's operating budget needs for fiscal years 2022-2023.,budget,citywide,"PRESENTATION submitted by Paula Boggs Muething, City Manager, dated 3/8/2021, regarding the City Planning Department’s FY 2022-2023 Biennial Operating Budget needs.",,success
3297,202100918,2021-03-04,2021-03-08,2021-03-08,"Budget, Finance & Governance Committee",Presentation,Filed/Sunset,,,presentation,Citizen Complaint Authority FY 2022-2023 Biennial Operating Budget,City Manager presents the Citizen Complaint Authority's two-year operating budget for fiscal years 2022-2023.,budget|public safety|elections and governance,citywide,"PRESENTATION submitted by Paula Boggs Muething, City Manager, dated 3/8/2021, regarding the Citizen Complaint Authority’s FY 2022-2023 Biennial Operating Budget.",,success
3298,202100919,2021-03-04,2021-03-08,2021-03-08,"Budget, Finance & Governance Committee",Presentation,Filed/Sunset,,,presentation,Department of Economic Inclusion FY 2022-2023 Biennial Operating Budget Presentation,City Manager presents Department of Economic Inclusion's proposed operating budget for fiscal years 2022-2023.,budget|economic development,citywide,"PRESENTATION submitted by Paula Boggs Muething, City Manager, dated 3/8/2021, regarding the Department of Economic Inclusion’s FY 2022-2023 Biennial Operating Budget.",,success
3299,202100920,2021-03-04,2021-03-08,2021-03-08,"Budget, Finance & Governance Committee",Presentation,Filed/Sunset,,,presentation,Department of Community and Economic Development FY 2022-2023 Biennial Operating Budget,Presentation on the Community and Economic Development Department's two-year operating budget for fiscal years 2022-2023.,budget|economic development,citywide,"PRESENTATION submitted by Paula Boggs Muething, City Manager, dated 3/8/2021, regarding the Department of Community and Economic Development’s FY 2022-2023 Biennial Operating Budget.",,success
3300,202100921,2021-03-04,2021-03-17,2021-03-17,Cincinnati City Council,Report,Approved & Filed,Budget and Finance Committee,,report,"Finance and Budget Monitoring Report for Period Ending January 31, 2021","City Manager submits financial monitoring report covering budget performance through January 31, 2021.",budget,citywide,"REPORT, dated  3/10/2021, submitted by Paula Boggs Muething, City Manager, regarding Finance and Budget Monitoring Report for the Period Ending January 31, 2021.",,success
3301,202100922,2021-03-05,2021-03-17,2021-03-17,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0076-2021,emergency ordinance,Accept $1.7M state grant for Smale Riverfront Park extension improvements,Accepts $1.7 million state grant for Smale Riverfront Park extension expansion and improvements at the Banks.,parks and recreation|budget,Downtown,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, City Manager, on 3/10/2021, AUTHORIZING the City Manager to accept and appropriate State of Ohio Capital Budget Grant resources in the amount of $1,700,000 as authorized by Senate Bill 310 from the Ohio Department of Natural Resources to capital improvement program project account no. 980x203x202008, “Smale Riverfront Park Extension” for the purpose of providing resources for expansion and improvements at the Smale Riverfront Park extension on Lot 23 of the Banks; and AUTHORIZING the Director of Finance, upon receipt of the State of Ohio Capital Budget Grant resources in the amount of $1,700,000, as authorized by Senate Bill 310, from the Ohio Department of Natural Resources, to return to source the amount of up to $1,700,000 from capital improvement program project account no. 980x203x202008, “Smale Riverfront Park Extension,” to the unappropriated surplus of Park and Recreation Improvement Bond Fund 860 for the purpose of partially offsetting the notes issued to fund a portion of the expansion and improvements at the Smale Riverfront Park extension on Lot 23 of the Banks.",,success
3302,202100923,2021-03-05,2021-03-17,2021-03-17,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0077-2021,ordinance,Authorization to apply for Safe Routes to School grant for safety improvements,"Authorizes City Manager to apply for $400,000 ODOT grant for school safety improvements citywide.",public safety|transportation|education,citywide,"ORDINANCE submitted by Paula Boggs Muething, City Manager, on 3/10/2021, AUTHORIZING the City Manager to apply for grant resources awarded by the Ohio Department of Transportation from the Safe Routes to School program in an amount of up to $400,000 for the purpose of implementing various safety improvements within two miles of schools within the City of Cincinnati.",,success
3303,202100924,2021-03-05,2021-03-17,2021-03-17,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0078-2021,emergency ordinance,Payment to Governmentjobs.com for NeoGov workforce management software subscription,"Authorizes $52,144.05 payment to Governmentjobs.com for annual NeoGov workforce management software subscription fee.",technology|labor and workforce,citywide,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, City Manager, on 3/10/2021, AUTHORIZING a payment of $52,144.05 from the Human Resources Department's non-personnel operating budget account no. 050x121x1000x7289 to Governmentjobs.com, Inc. as a moral obligation of the City for payment of charges owed for the annual NeoGov subscription fee for the City’s workforce management software.",,success
3304,202100925,2021-03-05,2021-03-17,2021-03-17,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0079-2021,emergency ordinance,Grant acceptance for Crime Gun Intelligence Center building renovations,"Authorizes accepting $150,000 federal grant for Crime Gun Intelligence Center building renovations.",public safety|budget,citywide,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, City Manager, on 3/10/2021, AUTHORIZING the City Manager to apply for, accept, and appropriate a grant in the amount of up to $150,000 in FY 2018 Project Safe Neighborhoods funds from the Ohio Department of Public Safety, Office of Criminal Justice Services, for assistance with building renovations for the Crime Gun Intelligence Center; and AUTHORIZING the Finance Director to deposit the grant funds into Law Enforcement Grant Fund 368, Project Account No. 18PSN.",,success
3305,202100926,2021-03-05,2021-03-17,2021-03-17,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0080-2021,ordinance,Apply for Federal Grant for Western Hills Viaduct Construction,Authorizes City Manager to apply for up to $150 million federal transportation grant for Western Hills Viaduct construction.,infrastructure|transportation,citywide,"ORDINANCE submitted by Paula Boggs Muething, City Manager, on 3/10/2021, AUTHORIZING the City Manager to apply for grant resources in an amount up to $150,000,000 awarded by the United States Department of Transportation through the Infrastructure for Rebuilding America (CFDA 20.934) discretionary grant program to provide resources for the construction of the Western Hills Viaduct.",,success
3306,202100927,2021-03-05,2021-03-17,2021-03-17,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0081-2021,emergency ordinance,Accept federal COVID-19 relief grant for Lunken Airport operations,"Authorizes accepting up to $91,162 in federal COVID-19 relief funds for Lunken Airport revenue losses and operating costs.",transportation|budget,citywide,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, City Manager, on 3/10/2021, AUTHORIZING the City Manager to apply for and accept a grant of up to $91,162 from the United States Department of Transportation and the Federal Aviation Administration through the recently passed Coronavirus Aid, Relief, and Economic Security Act Airport Grant program for the purpose of offsetting  losses in revenue at Lunken Airport due to COVID-19 and a need to defray various costs associated with operating Lunken Airport; AUTHORIZING the Director of Finance to receive and deposit the grant funds into General Aviation Fund revenue account no. 104x8559; and further AUTHORIZING the City Manager do all things necessary to execute any agreements necessary for the receipt and administration of these grant resources.",,success
3307,202100928,2021-03-05,2021-03-17,2021-03-17,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0082-2021,emergency ordinance,"Accept $130,000 from Hecate Energy for Cincinnati Solar Array project legal and consulting expenses","Accepts $130,000 from Hecate Energy LLC to fund legal expenses and energy consulting for Cincinnati Solar Array project.",environment and sustainability|budget|legal and litigation,citywide,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, City Manager, on 3/10/2021, AUTHORIZING the acceptance and deposit into General Fund Revenue account 050x8579 of $130,000 from Hecate Energy LLC related to the Cincinnati Solar Array project; AUTHORIZING the appropriation of $108,162 of said revenue to the Law Department’s General Fund 050 non-personnel operating budget account no. 050x111x7200 for the purpose of providing funds for legal expenses related to the project; and AUTHORIZING the appropriation of $21,838 of such revenue to the Office of Environment and Sustainability’s General Fund 050 non-personnel operating budget account 050x104x7200 for the purpose of providing funding for an energy consultant related to the project.",,success
3308,202100929,2021-03-05,2021-03-17,2021-03-17,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0083-2021,emergency ordinance,"Accept $46,000 state funding for Ault Park Wi-Fi installation","Accepts $46,000 in state capital budget funds to install Wi-Fi at Ault Park.",parks and recreation|technology|budget,Mount Lookout,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, City Manager, on 3/10/2021, AUTHORIZING the establishment of new capital improvement program project account no. 980x203x212008, “Ault Park Wi-Fi - State of Ohio Capital”; and AUTHORIZING the City Manager to accept and appropriate State of Ohio Capital Budget resources in the amount of $46,000 as authorized by Senate Bill 310, which established the State of Ohio’s Capital Budget for Fiscal Years 2021 and 2022, to the newly established capital improvement program project account no. 980x203x212008, “Ault Park Wi-Fi - State of Ohio Capital.”",,success
3309,202100930,2021-03-05,2021-03-17,2021-03-17,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0084-2021,emergency ordinance,Tax exemption agreement for residential remodeling at 100 E. McMicken Avenue,Approves 15-year tax exemption for LEED-compliant conversion of building into 6 residential apartments.,housing|tax policy|environment and sustainability,Over-the-Rhine,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, City Manager, on 3/10/2021, APPROVING AND AUTHORIZING the City Manager to execute a Community Reinvestment Area Tax Exemption Agreement (LEED or Living Building Challenge) with 100 E. McMicken LLC, an affiliate of Northcrown Property LLC, thereby authorizing a 15-year tax exemption for 100% of the value of improvements made to real property located at 100 E. McMicken Avenue in the Over-The-Rhine neighborhood of Cincinnati, in connection with the remodeling of the existing building into approximately 5,277 square feet of residential rental space consisting of 6 apartments, which remodeling shall be completed in compliance with Leadership in Energy and Environmental Design Silver, Gold or Platinum standards or Living Building Challenge standards, at a total remodeling cost of approximately $841,650.",,success
3310,202100931,2021-03-05,2021-03-17,2021-03-17,Cincinnati City Council,Legislative Resolution,Pass,Budget and Finance Committee,0023-2021,emergency ordinance,Walworth Avenue extension with infrastructure improvements and property assessments,"Declares necessity for extending Walworth Avenue with utilities, sidewalks, lighting and assessing adjacent property owners for costs.",infrastructure|transportation,,"RESOLUTION (LEGISLATIVE) (EMERGENCY) submitted by Paula Boggs Muething, City Manager, on 3/10/2021, DECLARING by legislative resolution the necessity of improving Walworth Avenue by constructing an extension thereto, together with curbs, street lighting, streetscaping, sidewalks, water mains, and storm and sanitary sewer; necessary remediation of soil in the related right-of-way; installing retaining walls; acquiring land necessary to construct and install the foregoing; and acquiring, constructing, and installing other related improvements, and of assessing certain lots adjacent to Walworth Avenue, as extended, for costs of those improvements, in accordance with Chapter 727 of the Ohio Revised Code. (MS KEATING IS EXCUSED FROM VOTING ON THIS ITEM)",3/12/2021 item moved from NC to BF/nc,success
3311,202100932,2021-03-05,2021-03-17,2021-03-17,Cincinnati City Council,Ordinance,Passed Emergency,Neighborhoods Committee,0085-2021,emergency ordinance,Assessment for Mulberry Street retaining wall construction in Over-the-Rhine,Authorizes assessment of Mulberry Street properties to fund construction of 243-foot retaining wall along Peete Street.,infrastructure,Over-the-Rhine,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, City Manager, on 3/10/2021, DETERMINING to proceed with the assessment of properties located on the southern side of the street between 49 and 67 Mulberry Street in the Over-the-Rhine neighborhood in the City of Cincinnati to pay for the costs of constructing a public improvement, namely a 243-foot retaining wall along Peete Street, pursuant to Ohio Revised Code Section 727.23.",,success
3312,202100933,2021-03-05,2021-03-17,2021-03-17,Cincinnati City Council,Ordinance,Passed,Neighborhoods Committee,0086-2021,ordinance,Levy special assessments for retaining wall construction on Mulberry Street,Levies special assessments to fund construction of 243-foot retaining wall along Peete Street near Mulberry Street.,infrastructure|tax policy,Over-the-Rhine,"ORDINANCE submitted by Paula Boggs Muething, City Manager, on 3/10/2021, TO LEVY special assessments to pay for the costs of constructing a public improvement, namely a 243-foot retaining wall along Peete Street, adjacent to certain lots located between 49 and 67 Mulberry Street on the southern side of the street in the Over-the-Rhine neighborhood in the City of Cincinnati, in accordance with the Ohio Revised Code Section 727.25.",,success
3313,202100934,2021-03-05,2021-05-19,2021-05-19,Cincinnati City Council,Ordinance,Passed Emergency,City Manager,0170-2021,emergency ordinance,Administrative Code Amendment for Assistant City Manager Responsibilities,Amends Administrative Code to define responsibilities for Assistant City Managers and city manager assistants.,elections and governance,citywide,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, City Manager, on 3/10/2021, AMENDING Sections 7, 8, and 11 of Article II, “City Manager,” of the Administrative Code of the City of Cincinnati to identify the necessary areas of responsibilities for Assistant City Managers and assistants to the City Manager to facilitate the operation of the Office of the City Manager.","3/9/2021 per Mayor item to be held of 3/10 calendar./nc4/27/2021 Mayor's officer request this item to go on 4/28 calendar/nc5/17/2021 item was by leaved into BF per Mayor, City Manager and Mann's office/nc",success
3314,202100935,2021-03-08,2021-03-10,2021-03-10,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0070-2021,emergency ordinance,Establishing City Council policy for evaluating real property tax incentives,Establishes City Council policy for evaluating real property tax incentives authorized by Cincinnati.,tax policy|economic development,citywide,"ORDINANCE (EMERGENCY) (C VERSION), dated 03/05/2021, submitted by Councilmember Landsman, from Andrew W. Garth, City Solicitor, ESTABLISHING a City Council policy for evaluating real property tax incentives authorized by the City of Cincinnati.",,success
3315,202100936,2021-03-08,2021-03-08,2021-03-08,"Education, Innovation & Growth Committee",Presentation,Filed/Sunset,,,presentation,City Administration Update on Initiatives Supporting Cincinnati Public Schools COVID-19 Response,Presentation on city initiatives supporting Cincinnati Public Schools' response to COVID-19 pandemic.,education|health,citywide,"PRESENTATION, submitted by Councilmember Sundermann from John Juech, Assistant City Manager entitled City Administration Update: Initiatives to Support CPS Response to COVID19.",,success
3316,202100943,2021-03-08,2021-03-10,2021-03-17,Cincinnati City Council,Motion,Adopted,Liz Keating,,motion,Report on Mental Health Services for Police Officers,Requests administration report on mental health services available to law enforcement officers and usage statistics.,public safety|health,citywide,"MOTION, (AMENDED), submitted by Councilmember Keating, Goodin, Mann, Kearney and Vice Mayor Smitherman, Police officers experience multiple traumatic events throughout their entire career. A study in 2015 showed that the average law enforcement officers experience 188 critical incidents over the extent of their career. In response to the trauma they see in their everyday lives, law enforcement officers can turn to negative coping mechanisms, experience symptoms of and/or develop PTSD, as well as other mental health disorders adding unneeded and additional stress to their already stressful profession. Accordingly, WE MOVE that the Administration provide a full report regarding the mental health services available to law enforcement officers, including but not limited to counseling services, mental health training, and emotional health training. * Moreover, WE MOVE that the Administration provide an additional report on the number of officers who are currently utilizing the mental health support services available to them.",,success
3317,202100950,2021-03-08,2021-03-17,2021-03-17,Cincinnati City Council,Motion,Adopted,Neighborhoods Committee,,motion,Report on feasibility of residential parking permit area on Livingston Street,Requests administration to study creating a residential parking permit area on Livingston Street in West End.,transportation,Over-the-Rhine,"MOTION, submitted by Councilmember Sundermann and Mann, WE MOVE the Administration prepare a report on the feasibility of creating a Residential Parking Permit Area on Livingston Street in the West End. (STATEMENT ATTACHED)",,success
3318,202100951,2021-03-09,2021-03-17,2021-03-17,Cincinnati City Council,Report,Filed,City Manager,,report,Special Event Permit Application for 2021 Concours d'Elegance,City Manager reports on special event permit application for 2021 Concours d'Elegance car show.,arts and culture,,"REPORT, dated 3/17/2021, submitted by Paula Boggs Muething, City Manager, regarding Special Event Permit Application for 2021 CONCOURS D’ ELEGANCE.",,success
3320,202100953,2021-03-09,2021-03-10,2021-03-10,Cincinnati City Council,Successor,Filed,Clerk of Council,,other,Successor Designation Form from Councilmember Seelbach,Councilmember Seelbach submits successor designation form as required by the Charter.,elections and governance,,"SUCCESSOR DESIGNATION FORM, submitted by the Clerk of Council from Councilmember Seelbach pursuant to the Charter.",,success
3321,202100954,2021-03-09,2021-03-10,2021-03-10,Cincinnati City Council,Statement,Filed,Mayor,,other,Emergency order prohibiting in-person public attendance at City meetings due to COVID-19,"Prohibits in-person public attendance at City meetings through April 18, 2021 due to COVID-19 pandemic.",public safety|elections and governance,citywide,"STATEMENT, (AMENDED JOINT EMERGENCY ORDER), submitted by Mayor John Cranley, City Manager Paula Boggs Muething, and Commissioner Melba Moore, Pursuant to Article III of the Cincinnati Charter, Article XVIII of the Administrative Code of the City of Cincinnati, and Ohio Department of Health Orders, I hereby order that in-person attendance by the public at meetings of the City of Cincinnati shall be prohibited through Sunday, April 18, 2021 to reduce the potential for large indoor gatherings of the public and City employees. The region continues to experience dangerous intensification of the COVID-19 pandemic and strong action is needed to slow the course and mitigate the spread of COVID-19 to the City’s vulnerable populations and to prevent City meetings from becoming “superspreader” events that materially affect the City’s ability to perform essential government functions. This Order affirms the City Manager’s ongoing authority under this Order and the City Charter to limit public and employee access to City buildings and facilities due to the pandemic. The Administration is further authorized to take all necessary and proper actions to implement this Order, including by relaxing applicable codes, rules, and regulations as necessary to provide for the safe conduct of City business. The Administration shall have authority to toll time limits imposed by rule or regulation for any matters delayed or rescheduled as a result of this Order or prior orders. Nothing in this Order prevents the Administration from continuing to implement such measures as may be required to provide the public, City officials, and City staff with options for remote participation in public meetings including by phone or other remote meeting software. The Mayor or City Manager may grant limited exceptions for small, in-person public meetings as necessary and on such conditions that the City Manager may establish to protect the general public and the health of City employees. The Administration shall implement this Order consistently with applicable Open Meetings requirements and take steps to ensure that public hearings and other City business may proceed with public participation and without undue delay or interruption. This Order is based upon the existence of a condition of public danger or emergency, as established by the Mayor’s November 16, 2020 Declaration of Emergency for the COVID-19 pandemic, and as separately established by adoption of this Order. This Order expires at 11:59 p.m. on Sunday, April 18, 2021.",,success
3322,202100960,2021-03-09,2021-03-10,,Cincinnati City Council,Resolution,Agenda Ready,Steve Goodin,,resolution,Encourage Governor to Include Bar and Restaurant Workers in COVID-19 Vaccination Priority,Urges Governor DeWine to prioritize bar and restaurant workers for COVID-19 vaccinations to help reopen hospitality businesses.,health|economic development,citywide,"RESOLUTION, submitted by Councilmember Goodin, from Andrew W. Garth, ENCOURAGING Governor DeWine and his administration to immediately include bar and restaurant workers as eligible for the current phase of COVID-19 vaccinations to better facilitate the full and unrestricted reopening of Ohio’s hospitality-related businesses, which have been devastated economically by the pandemic.",,success
3323,202100961,2021-03-09,2021-03-10,2021-03-15,"Budget, Finance & Governance Committee",Petition,File,Clerk of Council,,other,Petition for Special Assessments for Walworth Junction Development,Petition from East End Development LLC regarding special assessments for Walworth Junction development project.,tax policy|economic development,East End,"PETITION, submitted to the Clerk of Council from Ralph Meierjohan, Managing Member of East End Development, LLC, regarding Petition for Special Assessments executed in connection with the Walworth Junction Special Assessment proceedings. (MS. KEATING IS EXCUSED FROM VOTING ON THIS ITEM)",,success
3324,202100962,2021-03-10,2021-03-15,2021-03-15,"Budget, Finance & Governance Committee",Presentation,Filed/Sunset,City Manager,,presentation,Transportation and Engineering Department FY 2022-2023 Budget Needs,City Manager presents Transportation and Engineering Department's budget needs for fiscal years 2022-2023.,budget|transportation|infrastructure,citywide,"PRESENTATION submitted by Paula Boggs Muething, City Manager, dated 3/15/2021, regarding the Department of Transportation and Engineering’s FY 2022-2023 Biennial Operating Budget needs.",,success
3325,202100968,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Reappointment,Confirmed,Mayor,,appointment,Reappointment of Gary Ensing to Cincinnati Accessibility Board of Advisors,Reappoints Gary Ensing to serve a two-year term on the Cincinnati Accessibility Board of Advisors.,elections and governance,citywide,"REAPPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Gary Ensing to the Cincinnati Accessibility Board of Advisors (CABA) for a term of two years. This reappointment is submitted to City Council for its advice and consent pursuant to its Rules. (Male/White)",,success
3326,202100973,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Reappointment,Confirmed,Mayor,,appointment,Reappointment of Jill Gabboney to Cincinnati Accessibility Board of Advisors,Mayor reappoints Jill Gabboney to the Cincinnati Accessibility Board of Advisors for two years.,elections and governance|human services,citywide,"REAPPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Jill Gabboney to the Cincinnati Accessibility Board of Advisors (CABA) for a term of two years. This reappointment is submitted to City Council for its advice and consent pursuant to its Rules. (Female/White)",,success
3327,202100974,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Reappointment,Confirmed,Mayor,,appointment,Reappointment of Robert Harris to Cincinnati Accessibility Board of Advisors,Reappoints Robert Harris to serve a two-year term on the Cincinnati Accessibility Board of Advisors.,elections and governance,citywide,"REAPPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Robert Harris to the Cincinnati Accessibility Board of Advisors (CABA) for a term of two years. This reappointment is submitted to City Council for its advice and consent pursuant to its Rules. (Male/AA)",,success
3328,202100975,2021-03-10,2021-03-17,2021-03-17,Cincinnati City Council,Reappointment,Confirmed,Mayor,,appointment,Reappointment of Katherine Hevener to Cincinnati Accessibility Board of Advisors,Reappoints Katherine Hevener to the Cincinnati Accessibility Board of Advisors for two years.,elections and governance,citywide,"REAPPOINTMENT, submitted by Mayor John Cranley, I hereby reappoint Katherine Hevener to the Cincinnati Accessibility Board of Advisors (CABA) for a term of two years. This reappointment is submitted to City Council for its advice and consent pursuant to its Rules. (Female/White)",,success
